"filename", "language", "Rust", "YAML", "Shell Script", "Markdown", "comment", "blank", "total"
"/home/dev/projects/dbnexus/macros/tests/ui/db_cache_method_signatures.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_cache_with_db_entity.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_crud_all_methods.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_crud_basic.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_crud_generic.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_crud_method_signatures.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_crud_missing_table_name.rs", "Rust", 7, 0, 0, 0, 1, 3, 11
"/home/dev/projects/dbnexus/macros/tests/ui/db_crud_table_name_arg.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_crud_with_sea_orm.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_entity_basic.rs", "Rust", 13, 0, 0, 0, 3, 5, 21
"/home/dev/projects/dbnexus/macros/tests/ui/db_entity_generic.rs", "Rust", 13, 0, 0, 0, 2, 4, 19
"/home/dev/projects/dbnexus/macros/tests/ui/db_entity_method_signatures.rs", "Rust", 20, 0, 0, 0, 4, 6, 30
"/home/dev/projects/dbnexus/macros/tests/ui/db_entity_missing_primary_key.rs", "Rust", 8, 0, 0, 0, 1, 3, 12
"/home/dev/projects/dbnexus/macros/tests/ui/db_entity_missing_table_name.rs", "Rust", 8, 0, 0, 0, 1, 3, 12
"/home/dev/projects/dbnexus/macros/tests/ui/db_entity_sea_orm.rs", "Rust", 14, 0, 0, 0, 2, 4, 20
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_attribute_too_long.rs", "Rust", 11, 0, 0, 0, 1, 3, 15
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_basic.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_dangerous_config_path.rs", "Rust", 11, 0, 0, 0, 1, 3, 15
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_empty_role.rs", "Rust", 11, 0, 0, 0, 1, 3, 15
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_invalid_role_name.rs", "Rust", 11, 0, 0, 0, 1, 3, 15
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_method_signatures.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_multiple_roles_ops.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_path_traversal.rs", "Rust", 11, 0, 0, 0, 1, 3, 15
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_role_starts_with_digit.rs", "Rust", 11, 0, 0, 0, 1, 3, 15
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_role_with_hyphen.rs", "Rust", 11, 0, 0, 0, 1, 3, 15
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_valid_role_names.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/macros/tests/ui/db_permission_with_db_entity.rs", "Rust", 13, 0, 0, 0, 1, 3, 17
"/home/dev/projects/dbnexus/scripts/generate-sql.sh", "Shell Script", 0, 0, 35, 0, 11, 14, 60
"/home/dev/projects/dbnexus/scripts/install-pre-commit.sh", "Shell Script", 0, 0, 304, 0, 56, 77, 437
"/home/dev/projects/dbnexus/scripts/no-commit-to-main.sh", "Shell Script", 0, 0, 9, 0, 2, 4, 15
"/home/dev/projects/dbnexus/scripts/pre-commit-check.sh", "Shell Script", 0, 0, 591, 0, 80, 134, 805
"/home/dev/projects/dbnexus/scripts/test-databases.sh", "Shell Script", 0, 0, 41, 0, 9, 10, 60
"/home/dev/projects/dbnexus/src/access/authentication/jwt.rs", "Rust", 134, 0, 0, 0, 17, 35, 186
"/home/dev/projects/dbnexus/src/access/authentication/mod.rs", "Rust", 158, 0, 0, 0, 35, 41, 234
"/home/dev/projects/dbnexus/src/access/authentication/models.rs", "Rust", 70, 0, 0, 0, 34, 30, 134
"/home/dev/projects/dbnexus/src/access/authentication/password.rs", "Rust", 86, 0, 0, 0, 16, 25, 127
"/home/dev/projects/dbnexus/src/access/mod.rs", "Rust", 28, 0, 0, 0, 13, 9, 50
"/home/dev/projects/dbnexus/src/access/permission/advanced.rs", "Rust", 534, 0, 0, 0, 158, 99, 791
"/home/dev/projects/dbnexus/src/access/permission/context.rs", "Rust", 894, 0, 0, 0, 345, 142, 1381
